ID,Subzone,Subzone Total,Total Males,Total Females,Total Chinese,Chinese Males,Chinese Females,Total Malays,Malay Males,Malay Females,Total Indians,Indian Males,Indian Females,Total Others,Others Male,Others_Females
26,MARYMOUNT,29620,14680,14940,25630,12700,12930,1020,500,530,2120,1070,1050,850,410,440
27,UPPER THOMSON,29390,14160,15230,25500,12230,13280,910,450,450,2010,1000,1010,970,480,490
29,LIU FANG,10,,,,,,,,,,,,,,
30,SAMULUN,10,,,,,,,,,,,,,,
31,SHIPYARD,,,,,,,,,,,,,,,
32,TUKANG,10,,,,,,,,,,,,,,
34,BRICKWORKS,19820,9800,10020,12620,6250,6360,5440,2730,2700,1380,690,690,380,120,260
35,BUKIT BATOK CENTRAL,27290,13290,14000,20820,10100,10720,3520,1740,1780,2350,1180,1170,600,260,340
36,BUKIT BATOK EAST,12690,6290,6410,7850,3800,4050,2990,1510,1480,1590,860,730,270,110,150
37,BUKIT BATOK SOUTH,14930,7360,7570,11140,5450,5690,1780,880,910,1620,840,780,390,190,200
38,BUKIT BATOK WEST,15000,7300,7700,10450,5090,5360,2560,1240,1320,1680,850,830,310,120,190
39,GOMBAK,9930,4840,5090,8430,4120,4310,560,260,300,670,340,330,260,130,140
40,GUILIN,12940,6290,6650,8910,4290,4620,1960,960,1000,1600,810,780,470,220,240
41,HILLVIEW,19300,9290,10000,16680,7960,8720,340,160,180,1210,600,610,1070,580,500
42,HONG KAH NORTH,26150,13030,13120,16580,8260,8320,6100,3040,3060,2840,1470,1380,640,270,370
44,ALEXANDRA HILL,13490,6630,6860,9850,4770,5080,1950,1000,950,1410,740,670,280,120,160
45,ALEXANDRA NORTH,2620,1230,1400,2200,1010,1190,20,10,10,230,110,120,180,100,80
46,BUKIT HO SWEE,14390,7050,7340,11570,5570,6000,1290,690,600,1160,620,540,380,180,200
47,BUKIT MERAH,1110,550,570,920,450,470,10,,10,140,70,70,40,20,20
48,CITY TERMINALS,20,,,,,,,,,,,,,,
49,DEPOT ROAD,6540,3090,3450,5290,2480,2820,170,80,90,780,390,390,300,140,160
50,EVERTON PARK,7810,3680,4120,6240,2910,3330,420,220,190,810,390,420,340,160,180
51,HENDERSON HILL,13320,6490,6830,10240,4990,5250,1480,730,750,1240,620,610,370,150,220
52,KAMPONG TIONG BAHRU,9010,4440,4560,6900,3390,3510,960,520,440,930,470,470,220,80,140
53,MARITIME SQUARE,3620,1770,1850,2570,1230,1340,70,40,30,370,190,180,610,320,300
54,REDHILL,10620,5150,5470,8530,4090,4450,860,430,430,900,490,420,330,150,180
55,SINGAPORE GENERAL HOSPITAL,10,,,,,,,,,,,,,,
56,TELOK BLANGAH DRIVE,19320,9170,10140,15760,7430,8330,1340,680,660,1730,870,860,490,200,290
57,TELOK BLANGAH RISE,12150,5740,6420,9760,4570,5190,700,350,350,1400,690,710,300,130,170
58,TELOK BLANGAH WAY,9230,4610,4620,7100,3520,3580,1010,540,470,930,480,460,180,70,120
59,TIONG BAHRU,12890,5990,6900,11400,5260,6150,250,110,140,780,390,380,460,230,240
60,TIONG BAHRU STATION,15120,7140,7980,12500,5830,6660,920,450,470,1170,600,580,530,260,280
62,BANGKIT,22270,11010,11260,16630,8190,8440,3800,1900,1900,1420,740,680,410,170,240
63,DAIRY FARM,6940,3350,3590,5990,2890,3100,110,50,60,430,200,230,400,200,200
64,FAJAR,27820,13870,13950,18950,9380,9570,5950,3070,2880,2270,1150,1120,650,270,370
65,JELEBU,31310,15370,15940,24700,12100,12610,3770,1880,1880,2100,1060,1050,740,340,400
66,NATURE RESERVE,3850,1810,2040,3170,1470,1710,80,30,50,300,150,150,300,160,140
